"","time","S","I","R","D","labor_S","labor_I","labor_R","consumption_S","consumption_I","consumption_R","aggregate_labor_supply","aggregate_consumption","weekly_new_cases","newly_recovered","newly_dead","newly_infected_per_I","prob_infection_S","infection_growth_rate","Reff","consumption_contacts","labor_contacts","other_contacts","total_cases","aggregate_hours_deviation","aggregate_consumption_deviation","qre_times","l_SS","l_SI","l_SR","l_IS","l_II","l_IR","l_RS","l_RI","l_RR","infolag","type"
"1",1,0.999999,0.000001,0,0,7.99910445558636,7.81014799551955,7.99920534536345,158.902211599245,132.723910545097,158.904215774687,7.9991042666299,158.902185420944,0.000000477480680963084,0.000000193137254901961,0.00000000294117647058824,0.477480680963084,0.000000477481158444243,0.281402249590535,2.43515147291173,4.31518148754596,7.33540095796222,3.548544,0.000000477480680963084,0,0,NA,1,0,0,0,1,0,0,0,1,0.85,"eqm"
"2",2,0.999998519543201,0.00000128437836730013,0.000000193137254901961,0,7.93619558168018,7.93606855650026,7.93619724222649,157.652526806602,134.863776432527,157.652559793355,7.9361955581756,157.652497073547,0.000000617088022152886,0.000000248061312115809,0.00000000377758343323568,0.480456567833712,0.000000617088935726396,0.284378136461162,2.45032849595193,4.3502699514414,7.39504803246299,3.548544,0.00000109456870311597,-0.786446911521532,-0.78645132795816,3.61,0.333447059994386,0.33310589950248,0.333447040039788,0.333111279434429,0.333777984336768,0.333110736205611,0.333451448845455,0.333097114444441,0.333451436260422,0.85,"eqm"
"3",3,0.999997902455179,0.00000164962749413041,0.00000044119856701777,0.00000000377758343323568,7.9361955854059,7.93606855656652,7.93619724584595,157.652526880613,134.863776433653,157.652559865255,7.93619553187569,157.652488228449,0.000000792573875235981,0.000000318604525827147,0.00000000485184557097179,0.48045627152558,0.000000792575537698695,0.284377840153031,2.45032698478046,4.35026995351999,7.3950480359964,3.548544,0.00000188714257835195,-0.786447240307286,-0.78645689433684,2.2,0.333447060215452,0.333105899357988,0.333447040425561,0.333111279144432,0.333777984942035,0.333110735912925,0.33345144923356,0.333097114284075,0.333451436481374,0.85,"eqm"
"4",4,0.999997109881304,0.00000211874499796879,0.000000759803092844918,0.00000000862942900420747,7.93619558541,7.93606855656917,7.93619724584985,157.652526880695,134.863776433698,157.652559865333,7.93619549331553,157.652476773034,0.0000010179635152246,0.000000409208592744952,0.00000000623160293520232,0.480455890728006,0.00000101796645726849,0.284377459355457,2.45032504271283,4.35026995352369,7.39504803600269,3.548544,0.00000290510609357655,-0.786447722363259,-0.786464103435602,2.44,0.33344706021473,0.333105899358774,0.333447040426029,0.333111279144721,0.333777984941783,0.333110735913215,0.333451449233592,0.333097114285725,0.333451436480219,0.85,"eqm"
"5",5,0.999996091917788,0.00000272126831751323,0.00000116901168558987,0.0000000148610319394098,7.93619558541001,7.93606855656918,7.93619724584987,157.652526880695,134.863776433698,157.652559865333,7.93619544378447,157.652462059866,0.0000013074480624611,0.000000525578292696184,0.00000000800373034562717,0.480455401640027,0.00000130745317209558,0.284376970267477,2.45032254836413,4.35026995352371,7.39504803600272,3.548544,0.00000421255415603765,-0.786448341570822,-0.786473362696349,3.42,0.333447060214722,0.333105899358787,0.333447040426026,0.333111279144718,0.33377798494179,0.333110735913212,0.333451449233593,0.33309711428572,0.333451436480227,0.85,"eqm"
"6",6,0.999994784469726,0.00000349513435693275,0.00000169458997828605,0.000000022864762285037,7.9361955854111,7.93606855656986,7.9361972458511,157.652526880717,134.863776433709,157.652559865358,7.93619538016895,157.652443162657,0.00000167925398569744,0.000000675040655211522,0.0000000102798069321552,0.48045477346717,0.00000167926274394312,0.28437634209462,2.45031934468256,4.35026995352467,7.39504803600436,3.548544,0.0000058918081417351,-0.786449136853828,-0.786485255049774,2.1,0.333447060214778,0.333105899359258,0.333447040425645,0.333111279144287,0.333777984941973,0.333110735913549,0.333451449233601,0.333097114285415,0.333451436480669,0.85,"eqm"
"7",7,0.99999310521574,0.00000448906788048652,0.00000236963063349758,0.0000000331445692171921,7.9361955854111,7.93606855656986,7.9361972458511,157.652526880717,134.863776433709,157.652559865358,7.93619529846126,157.652418891538,0.00000215679046977393,0.00000086700624750573,0.0000000132031408249604,0.480453966657369,0.00000215680534048144,0.284375535284819,2.45031522995258,4.35026995352467,7.39504803600436,3.548544,0.00000804859861150903,-0.786450158314378,-0.786500529300549,4.21,0.333447060214778,0.333105899359258,0.333447040425645,0.333111279144287,0.333777984941973,0.333110735913549,0.333451449233601,0.333097114285415,0.333451436480669,0.85,"eqm"
"8",8,0.999990948425271,0.00000576564896192976,0.00000323663688100331,0.0000000463477100421525,7.9361955854111,7.93606855656986,7.9361972458511,157.652526880717,134.863776433709,157.652559865358,7.93619519351783,157.652387718371,0.00000277012293948425,0.00000111356161323545,0.0000000169577910644993,0.480452930411687,0.00000277014801368601,0.284374499039138,2.4503099450996,4.35026995352467,7.39504803600436,3.548544,0.0000108187215509933,-0.786451470254157,-0.78652014713495,4.14,0.333447060214778,0.333105899359258,0.333447040425645,0.333111279144287,0.333777984941973,0.333110735913549,0.333451449233601,0.333097114285415,0.333451436480669,0.85,"eqm"
"9",9,0.999988178302331,0.00000740525249711406,0.00000435019849423876,0.0000000633055011066518,7.9361955854111,7.93606855656986,7.9361972458511,157.652526880717,134.863776433709,157.652559865358,7.93619505873105,157.652347680453,0.00000355786540683582,0.0000014302301391485,0.0000000217801544032767,0.480451599485956,0.00000355790746734224,0.284373168113407,2.45030315737838,4.35026995352467,7.39504803600436,3.548544,0.0000143765869578291,-0.786453155277522,-0.786545343715828,4.26,0.333447060214778,0.333105899359258,0.333447040425645,0.333111279144287,0.333777984941973,0.333110735913549,0.333451449233601,0.333097114285415,0.333451436480669,0.85,"eqm"
"10",10,0.999984620444906,0.00000951109962849296,0.00000578042863338726,0.0000000850856555099285,7.93618373677155,7.93605722172467,7.93618588907756,157.65229150749,134.863583811882,157.652334263049,7.93618303698359,157.652060884436,0.00000456959651942058,0.00000183694767334619,0.000000027973822436744,0.480448812220532,0.00000456966679886288,0.284370380847983,2.45028894232471,4.3502572452778,7.39502643318498,3.548544,0.0000189461834772497,-0.786603443948153,-0.786725829601731,2.09,0.333445816996916,0.333108395243221,0.33344578788085,0.333111402480346,0.333777924475298,0.333110675568763,0.333451452958589,0.333097113748446,0.333451435941381,0.85,"eqm"
