"","time","S","I","R","D","labor_S","labor_I","labor_R","consumption_S","consumption_I","consumption_R","aggregate_labor_supply","aggregate_consumption","weekly_new_cases","newly_recovered","newly_dead","newly_infected_per_I","prob_infection_S","infection_growth_rate","Reff","consumption_contacts","labor_contacts","other_contacts","total_cases","aggregate_hours_deviation","aggregate_consumption_deviation","qre_times","l_SS","l_SI","l_SR","l_IS","l_II","l_IR","l_RS","l_RI","l_RR","infolag","type"
"1",1,0.999999,0.000001,0,0,7.99295912406569,7.72159711603065,7.99325794701061,158.780134587366,131.219096677969,158.786070705226,7.99295885270368,158.780107026328,0.000000473052969667075,0.000000193137254901961,0.00000000294117647058824,0.473052969667075,0.000000473053442720517,0.276974538294525,2.41257014530208,4.26297871765932,7.24666117973044,3.548544,0.000000473052969667075,0,0,NA,1,0,0,0,1,0,0,0,1,1.8,"eqm"
"2",2,0.999998523123327,0.00000128079824173153,0.000000193137254901961,0,7.91267802307616,7.88242482623441,7.91271133779637,157.185350500261,133.952166862363,157.186012297185,7.91267796106177,157.185320281059,0.000000610782513166124,0.000000247369856491286,0.00000000376705365215157,0.476876445692491,0.000000610783415217902,0.280798014319941,2.4320698730317,4.30806022756188,7.32329548859554,3.548544,0.0000010838354828332,-1.00439515730468,-1.00439959081606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"3",3,0.99999791240289,0.00000164038176874751,0.000000440507111393247,0.00000000376705365215157,7.91371587761367,7.88034568473368,7.9137526247596,157.205967480855,133.916834396101,157.206697462916,7.91371576980297,157.205928223534,0.000000782179445947597,0.000000316818831807118,0.0000000048246522610221,0.476827687828315,0.000000782181078826557,0.280749256455765,2.4318212079244,4.30748880483722,7.32232412393477,3.548544,0.0000018660149287808,-0.991411120224961,-0.991420671188814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"4",4,0.999997130302989,0.00000210083818538371,0.000000757325943200365,0.00000000859170591317367,7.91475373215117,7.87826654323295,7.91479391172282,157.226584461449,133.881501929839,157.227382628648,7.914753564248,157.226533604537,0.00000100163515740308,0.000000405750120118226,0.00000000617893583936385,0.476778823029691,0.00000100163803180074,0.280700391657142,2.43157199745142,4.3069170840215,7.32135225254733,3.548544,0.00000286765008618387,-0.978427262004844,-0.978443364781134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"5",5,0.999996128769758,0.00000269044236013886,0.00000116307606331859,0.0000000147706417525375,7.91579158668868,7.87618740173221,7.91583519868605,157.247201442043,133.846169463577,157.248067794379,7.91579133998357,157.247135698789,0.00000128261412470356,0.000000519624651909173,0.00000000791306576511432,0.476729828412812,0.00000128261909001737,0.280651397040263,2.43132212490534,4.30634506511471,7.32037987443323,3.548544,0.00000415026421088743,-0.965443637858976,-0.965468128375435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"6",6,0.999994846286234,0.00000344538816666863,0.00000168270071522776,0.0000000226837075176518,7.91682944122619,7.87410826023148,7.91687648564927,157.267818422636,133.810836997315,157.26875296011,7.91682909124646,157.267733575833,0.00000164234995584136,0.000000665432812582079,0.0000000101334946078489,0.476680674685593,0.00000164235842008656,0.280602243313044,2.43107144089652,4.30577274811685,7.31940698959247,3.548544,0.00000579261416672879,-0.952460319890991,-0.952495547974697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"7",7,0.999993204103613,0.00000441200448105144,0.00000234813352780984,0.0000000328172021255008,7.9178672957637,7.87202911873075,7.9179177726125,157.28843540323,133.775504531052,157.289438125842,7.91786681051388,157.288326042049,0.00000210289953886217,0.000000852122434085427,0.0000000129764837677984,0.476631324354643,0.00000210291383004667,0.280552892982094,2.43081975420868,4.30520013302792,7.31843359802504,3.548544,0.00000789551370559096,-0.93947740221878,-0.939526375323629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"8",8,0.999991101418465,0.0000056495907103499,0.00000320025596189527,0.0000000457936858932991,7.9189051503012,7.86994997723002,7.91895905957572,157.309052383824,133.74017206479,157.310123291573,7.91890448797028,157.308911566289,0.00000269249171131585,0.0000010911464411166,0.000000016616443265735,0.476581729430998,0.00000269251567088608,0.280503298058448,2.43056682009808,4.30462721984791,7.31745969973095,3.548544,0.0000105880054169068,-0.926495007644723,-0.926561574741591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"9",9,0.999988409201426,0.00000723404486551399,0.00000429140240301187,0.0000000624101291590342,7.91994300483871,7.86787083572928,7.92000034653895,157.329669364418,133.704839598528,157.330808457304,7.91994211081376,157.329488184528,0.0000034472526271756,0.000001397163567163,0.0000000212766025456294,0.476531828494634,0.00000344729258404957,0.280453397122085,2.43031232532263,4.30405400857684,7.3164852947102,3.548544,0.0000140352580440824,-0.913513296333546,-0.913602383174861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
"10",10,0.999984962319417,0.00000926248670504646,0.00000568856597017487,0.0000000836867317046636,7.92094507500303,7.86577143016709,7.92102136944071,157.349575488431,133.669162769332,157.351091077451,7.92094387821699,157.34934252668,0.00000441337997332864,0.00000178893125577858,0.0000000272426079560191,0.476478953640398,0.00000441344634132499,0.280400522267849,2.43004266356603,4.30344997082169,7.31545848757808,3.548544,0.0000184486380174111,-0.900980172847177,-0.901098082400886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"eqm"
